id,real_text_id
0,1
1,2
2,1
3,2
4,2
5,1
6,1
7,1
8,1
9,2
10,1
11,1
12,1
13,1
14,2
15,2
16,1
17,1
18,2
19,2
20,1
21,2
22,1
23,1
24,2
25,1
26,1
27,2
28,2
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,1
37,2
38,1
39,2
40,2
41,1
42,2
43,1
44,1
45,1
46,2
47,2
48,1
49,1
50,2
51,1
52,1
53,2
54,2
55,1
56,1
57,2
58,2
59,2
60,2
61,1
62,2
63,2
64,2
65,1
66,1
67,1
68,2
69,2
70,2
71,2
72,1
73,1
74,1
75,1
76,2
77,1
78,2
79,1
80,2
81,1
82,1
83,2
84,2
85,1
86,2
87,2
88,1
89,2
90,2
91,1
92,2
93,2
94,1